timestamp,steering,throttle,speech_output
2025-04-08 21:07:42,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:42,1.000,0.158,"Right 25.0 degrees, Accelerate 4.7 kilometers per hour"
2025-04-08 21:07:43,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:44,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:44,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:45,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:45,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:46,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:47,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:47,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:48,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:48,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:49,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:50,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:50,1.000,0.813,"Right 25.0 degrees, Accelerate 24.4 kilometers per hour"
2025-04-08 21:07:51,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:52,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:52,1.000,0.944,"Right 25.0 degrees, Accelerate 28.3 kilometers per hour"
2025-04-08 21:07:53,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:53,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:54,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
2025-04-08 21:07:55,1.000,1.000,"Right 25.0 degrees, Accelerate 30.0 kilometers per hour"
